UE,NO_INV,NO_PECHE,NO_POSE,NO_SPEC,PANNEAU,ESPECE,LONG_T,MASSE_GR,SEXE,MAT_SEX,TYPE_STRUC,NB_STRUC,ECH_STRUC,AGE_1,INSECTES,BENTHOS,PLANCTON,CHYME,VIDE,POISS,NB_POI_EST,ESP_POIS1,ESP_POIS2,AUTRE_CONT,COMMENTAIR,STATUT_MAR,TYPE_MARQU,COULEUR,NO_ETIQUET,DESC_ETIQ,COM_MARQ,GENETIQUE,NO_ETI_GEN,CONTAMINAN,NO_ETI_CO,COM_TISSUS,IND_ACTION
07-00882-IPE,4,1,4,84,-,SANA,265,151,F,N,OT,2,84,,,,TRUE,,,,,,,,,,,,,,,TRUE,84,FALSE,,,a
07-00882-IPE,4,1,4,85,-,SANA,263,144,F,N,OT,2,85,,,,TRUE,,,,,,,,,,,,,,,TRUE,85,FALSE,,,a
07-00882-IPE,4,1,4,86,-,SANA,270,156,F,N,OT,2,86,,,,TRUE,,,,,,,,,,,,,,,TRUE,86,FALSE,,,a
07-00882-IPE,4,1,4,87,-,SANA,264,136,M,N,OT,2,87,,,,TRUE,,,,,,,,,,,,,,,TRUE,87,FALSE,,,a
07-00882-IPE,4,2,1,88,-,SANA,157,33,M,N,OT,2,88,,,,,,,,,,,,,,,,,,,TRUE,88,FALSE,,,a
07-00882-IPE,4,2,1,89,-,SANA,177,45,F,N,OT,2,89,,,,,,,,,,,,,,,,,,,TRUE,89,FALSE,,,a
07-00882-IPE,4,1,7,90,-,SAFO,289,239,M,O,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,11,91,-,CACO,498,1500,F,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,2,92,-,OSMO,157,19,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,2,93,-,OSMO,160,19,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,2,94,-,OSMO,172,26,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,2,95,-,OSMO,150,17,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,96,-,CACO,442,1050,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,97,-,CACO,469,1200,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,98,-,CACO,470,1150,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,99,-,OSMO,162,23,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,100,-,OSMO,177,30,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,101,-,OSMO,169,24,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,102,-,OSMO,165,24,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,103,-,OSMO,160,22,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,104,-,OSMO,155,19,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,105,-,OSMO,154,18,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
07-00882-IPE,4,1,4,106,-,OSMO,160,21,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,a
