Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
Real Conservera Mussels in Escabeche 5/7,27,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Real Conservera,No,No,Escabeche,NA,NA,5/7,115g,4.06 oz,No,No,No,No,No,No,No,No,No,None,?,1100,?,Per 100g
Real Conservera Sea Urchin Roes in Brine,64,Brine,Sea Urchin Roe,,Spain,Real Conservera,Yes,No,None,NA,NA,Unstated,85g,2.99oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Spicy Hake Roe Pâté,25,Olive Oil,Hake Roe Pate,Merluccius merluccius,Spain,Real Conservera,Yes,No,Spicy Olive Oil,NA,NA,Unstated,140g,4.93oz,No,No,No,Yes,Yes,No,No,No,No,None,1,,,
Real Conservera Cockles in Brine,55,Brine,Cockles,Cerastoderma edule,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,Unstated,85g,3.82oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Ventresca of Yellowfin Tuna,20,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Real Conservera,Yes,No,None,NA,NA,Unstated,112g,3.95oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Sardines in Olive Oil 3/4,15,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,3/4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,?,< 1g,?,Per 100g
Real Conservera Sardinillas in Olive Oil with Lemon 10/14,19,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,Lemon,No,No,10/14,112g,4 oz,No,No,Yes,No,No,No,No,No,No,None,?,1500,?,Per 100g
Real Conservera Selección 1920 Mussels in Escabeche 9/12,16,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Real Conservera,No,No,Escabeche,NA,NA,6/12,112g,4 oz,No,No,No,No,No,No,No,No,No,None,?,1100,?,per 100g
Real Conservera Small Sardines (Sardinillas) in Olive Oil (Limited Edition),30,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,18/22,112g,3.95 oz,No,No,No,No,No,No,No,No,No,None,?,1500,?,Per 100g
Real Conservera Small Sardines (Sardinillas) in Olive Oil 10/14,16.5,Olive OIl,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,10/14,112g,3.95 oz,No,No,No,No,No,No,No,No,No,None,?,1500,?,per 100g
Real Conservera Small Sardines (Sardinillas) in Spicy Olive Oil 10/14,18,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,Spiced/Spicy,No,No,10/14,112g,3.95 oz,No,No,No,No,Yes,No,No,No,No,None,?,1500,?,per 100g
Real Conservera Small Whole Mackerel (Caballitas) in Olive Oil,21,Olive Oil,Mackerel,Scomber scombrus,Spain,Real Conservera,Yes,No,None,No,No,Unstated,130g,4.6 oz,No,No,No,No,No,No,No,No,No,None,?,< 1g,?,Per 100g
Real Conservera Spicy Hake Roe Medallions in Olive Oil,25,Olive Oil,Hake,Merluccius merluccius,Spain,Real Conservera,Yes,No,Spiced/Spicy,NA,NA,Unstated,130g,4.6 oz,No,No,No,No,Yes,No,No,No,No,None,?,< 1g,?,Per 100g
Real Conservera Stuffed Squid in Olive Oil,35,Olive Oil,Squid,Loligo spp.,Spain,Real Conservera,Yes,No,None,NA,NA,Unstated,130g,4.6 oz,No,No,No,No,No,No,No,No,No,None,?,< 1g,?,Per 100g
Real Conservera Variegated Scallop (Zamburiñas) in Natural Broth,58,Water,Scallop,?,Spain,Real Conservera,Yes,No,"Onion, Lemon, Bay",NA,NA,Unstated,130g,4.6 oz,No,No,Yes,No,No,No,No,No,No,None,?,< 1g,?,Per 100g
Riga Gold Cod Liver,4.5,None,Cod,?,Latvia,Riga Gold,?,?,?,NA,NA,NA,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,?,?,?,
