Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
"Albert Ménès Vintage Whole Anchovies, 2018",19,Olive Oil,Anchovy,,France,Albert Ménès,Yes,No,None,No,No,Unstated,115g,4.06oz,No,No,No,No,No,No,No,No,No,None,,,,
"Albert Ménès Vintage Smoked Sprats, 2017",12.5,Rapeseed Oil,Sprats,,France,Albert Ménès,Yes,No,None,No,No,Unstated,110g,3.88oz,Yes,No,No,No,No,No,No,No,No,None,,,,
Albert Ménès Boneless Sardines in Organic Extra Virgin Olive Oil,15.5,Olive Oil,Sardines,,France,Albert Ménès,Yes,No,None,Yes,No,Unstated,115g,4.06oz,No,No,No,No,No,No,No,No,No,None,,,,
Alkorta Cod Fillets in Olive Oil,15,Olive Oil,Cod,Gadus morhua,Spain,Alkorta,Yes,No,None,Yes,Yes,Unstated,200g,7 oz,No,No,No,No,No,No,No,No,No,None,2.5,370,15,
Alshark Moroccan Sardines in Oil,3.25,Vegetable Oil,Sardines,?,Morocco,Alshark,Yes,No,None,No,No,Unstated,120g,4.23 oz,Yes,No,No,No,No,No,No,No,No,None,1,603,25,
Alshark Moroccan Sardines in Spicy Oil,3.25,Vegetable Oil,Sardines,?,Morocco,Alshark,Yes,No,Spiced/Spicy,No,No,Unstated,120g,4.23 oz,Yes,No,No,No,Yes,No,No,No,No,None,1,603,25,
"Angelo Parodi Grated Mullet Bottarga (Salted, Dried Roe)",8,None,Mullet Roe,,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,20g,.70oz,No,No,No,No,No,No,No,No,No,None,,,10,
Angelo Parodi Boneless & Skinless Sardine Fillets in Olive Oil,6.5,Olive Oil,Sardines,Sardina pilchardus,Morocco,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,105g,3.7 oz,No,No,No,No,No,No,No,No,No,None,1,300,10,
Angelo Parodi Mackerel Filets in Olive Oil,5,Olive Oil,Mackerel,Scomber scombrus / Scomber colias,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,No,No,No,No,No,None,1,330,14,
Angelo Parodi Mackerel Filets in Olive Oil with Ginger and Chili Pepper,5.5,Olive Oil,Mackerel,Scomber colias,Italy,Angelo Parodi,Yes,No,"Ginger, Chili Pepper",Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,Yes,No,No,No,No,None,1,330,14,
Angelo Parodi Portuguese Sardines in Olive Oil,4.5,Olive Oil,Sardines,Sardina pilchardus,Italy,Angelo Parodi,Yes,No,None,No,No,Unstated,120g,4.23 oz,No,No,No,No,No,No,No,No,No,None,1,420,18,
Angelo Parodi Salmon al Naturale (in water),12,Water,Salmon,Salmo salar,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,1,140,6,
Angelo Parodi Spicy Portuguese Sardines in Olive Oil,4.5,Olive Oil,Sardines,Sardina pilchardus,Italy,Angelo Parodi,Yes,No,Spiced/Spicy,No,No,Unstated,120g,4.23 oz,No,No,No,No,Yes,No,No,No,No,None,1,420,18,
Angelo Parodi Trancio di Tonno all'Olio d'Oliva (Yellowfin Tuna Loin Slice in Olive Oil),12,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,Angelo Parodi,Yes,No,None,NA,NA,NA,150g,5.29 oz,No,No,No,No,No,No,No,No,No,None,1,420,18,
Angelo Parodi Ventresca di Tonno in Olio d'Oliva (Yellowfin Ventresca in Olive Oil),16,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,Angelo Parodi,Yes,No,None,NA,NA,NA,115g,4.06 oz,No,No,No,No,No,No,No,No,No,None,1,420,18,
Appel Herring Fillets in Paprika Sauce,6.5,Canola Oil,Herring,,Germany,Appel,Yes,Yes,"Papkrika, Tomato",NA,NA,NA,200g,7.05oz,No,No,No,No,No,Yes,Yes,No,No,None,2.5,410,16,
Appel Herring Fillets in Tomato Sauce,6.5,Canola Oil,Herring,,Germany,Appel,Yes,Yes,Tomato,NA,NA,NA,200g,7.055oz,No,No,No,No,No,Yes,No,No,No,None,2.5,390,17,
"Appel Smoked Trout Fillets, Skinless in Canola Oil",9.5,Canola Oil,Trout,,Germany,Appel,Yes,No,None,NA,NA,NA,110g,3.88oz,Yes,No,No,No,No,No,No,No,No,None,1,490,21,
"Ar de Arte Small Sardines in Olive Oil 14/16, Fernando Rei Edition",17,Olive Oil,Sardines,Sardina pilchardus,Spain,Ar de Arte,Yes,No,none,No,no,14/16,110g,3.88oz,No,No,No,No,No,No,No,No,No,None,1,390,18,
"Ar de Arte Small Scallops in Vieira Sauce 12/16, Fernando Rei Edition",18,Olive Oil,Scallops,,Spain,Ar de Arte,Yes,No,Tomato,yes,yes,12/16,110g,3.88oz,No,No,No,No,No,Yes,No,No,No,None,1,520,25,
"Ar de Arte Razor Clams in Brine, Fernando Rei Edition",24,Salt Brine,Razor Clams,Ensis siliqua,Spain,Ar de Arte,Yes,No,None,Yes,Yes,8,110g,3.88oz,No,No,No,No,No,No,No,No,No,None,1,370,18,
"Ar de Arte Fried Mussels in Escabeche 7/10, Fernando Rei Edition",18.5,"Olive Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ar de Arte,Yes,No,Escabeche,Yes,Yes,7/10,110g,3.88oz,No,No,No,Yes,Not Specified,No,No,No,No,None,1,400,15,
"Ar de Arte Cockles in Brine 30/40, Fernando Rei Edition",33,Salt Brine,Cockles,Cerastoderma edule,Spain,Ar de Arte,Yes,No,None,Yes,Yes,30/40,110g,3.88oz,No,No,No,No,No,No,No,No,No,None,1,370,15,
Arroyabe Anchovy Fillets in Olive Oil,8,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Arroyabe,Yes,No,None,Yes,Yes,Unstated,50g,1.8 oz,No,No,No,No,No,No,No,No,No,None,2,950,42,
Arroyabe Bonito del Norte (Albacore) in Olive Oil,9.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Arroyabe,Yes,No,None,NA,NA,NA,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,290,13,
Arroyabe Ventresca of Bonito del Norte (Albacore) in Olive Oil,23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Arroyabe,Yes,No,None,NA,NA,NA,111g,3.9 oz,No,No,No,No,No,No,No,No,No,None,1.5,218,9,
Artesanos Alalunga Sea Bass with Pesto,35,Olive Oil,Seabass,Dicentrarchus labrax,Spain,Artesanos,Yes,Yes,Basil Pesto,NA,NA,NA,138g,4.87oz,No,No,No,Yes,No,No,No,No,No,None,1,95,,
Artesanos Alalunga Sea Bass with Olive Oil,35,Olive Oil,Seabass,Dicentrarchus labrax,Spain,Artesanos,Yes,No,None,NA,NA,NA,138g,4.87oz,No,No,No,No,No,No,No,No,No,None,1,190,,
Artesanos Alalunga Mackerel in Olive Oil,22.5,Olive Oil,Mackerel,Scomber scombrus,Spain,Artesanos,Yes,No,None,NA,NA,NA,138g,4.87oz,No,No,No,No,No,No,No,No,No,None,1,200,,
Artesanos Alalunga European Hake in Salsa Verde,25,Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos,Yes,No,Salsa Verde,NA,NA,NA,138g,4.87oz,No,No,No,Yes,No,No,No,No,No,None,1,280,,
Artesanos Bonito del Norte (Albacore) Loins with Onion and Green Peppers,22.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,No,"Pepper, Onion",NA,NA,NA,138g,4.87oz,No,No,No,No,No,No,No,No,No,None,1,280,,
Artesanos Bonito del Norte (Albacore) Loins in Tomato Sauce,22.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,Yes,Tomato,NA,NA,NA,138g,4.87oz,No,No,No,Yes,Yes,Yes,No,No,No,None,1,280,,
Artesanos Alalunga Cocochas de Merluza Europea (European Hake Cheeks) in Olive Oil 6/8,34,Extra Virgin Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos Alalunga,Yes,No,None,Yes,Yes,Unstated,134g,4.73 oz,No,No,No,No,No,No,No,No,No,None,1.34,200,?,
Artesanos Alalunga Cuttlefish In Its Own Ink,22.5,Extra Virgin Olive Oil,Cuttlefish,Sepia officinalis,Spain,Artesanos Alalunga,Yes,No,Ink,NA,NA,Unstated,138g,4.87 oz,No,No,No,Yes,No,No,No,No,No,None,1.38,160,?,
Artesanos Alalunga European Hake Loins in Olive Oil (Lomos de Merluza Europea),22.5,Extra Virgin Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos Alalunga,Yes,No,None,Yes,Yes,Unstated,138g,4.87 oz,No,No,No,No,No,No,No,No,No,None,1.38,200,?,
Artesanos Alalunga Tarantelo de Bonito del Norte in Extra Virgin Olive Oil,22.5,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos Alalunga,Yes,No,None,NA,NA,NA,138g,4.87 oz,No,No,No,No,No,No,No,No,No,None,0.88,500,?,
AS do MAR Ventresca of Yellowfin,17,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,None,NA,NA,NA,125g,4.4 oz,No,No,No,No,No,No,No,No,No,None,1,310,14,
AS do MAR Yellowfin Loin,11.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,None,NA,NA,NA,200g,7.05 oz,No,No,No,No,No,No,No,No,No,None,1,670,29,
Ati Manel Garfish in Olive Oil,7,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,1,85,10,
Ati Manel Garfish in Spiced Olive Oil,7,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,120g,4.2oz,No,No,No,No,Yes,No,No,No,No,None,1,85,10,
Ati Manel Mackerel Fillets in Olive Oil,9,Olive Oil,Mackerel,Scomber japonicus,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,125g,4.4oz,No,No,No,No,No,No,No,No,No,None,1,85,14,
Ati Manel Sardines in Olive Oil,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,125g,4.4oz,No,No,No,No,No,No,No,No,No,None,1,80,15,
Ati Manel Sardines in Olive Oil with Lemon,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,Lemon,NA,NA,NA,125g,4.4oz,No,No,Yes,No,No,No,No,No,No,None,1,68,16,
Ati Manel Sardines in Tomato Sauce,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,Yes,Tomato,NA,NA,NA,120g,4.2oz,No,No,No,No,No,Yes,No,No,No,None,1,110,14,
Ati Manel Tuna Fillets in Olive Oil,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,110g,3.9oz,No,No,No,No,No,No,No,No,No,None,1,55,11,
Ati Manel Spiced Tuna Fillets in Olive Oil,11.5,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Ati Manel,Yes,No,Spicy oil,NA,NA,NA,120g,4.2oz,No,No,No,No,Yes,No,No,No,No,None,1,130,24,
Ati Manel Octopus in Garlic Sauce,10,Sunflower Oil,Octopus,Elodone cirrhiosa,Spain,Ati Manel,Yes,No,Garlic,NA,NA,NA,110g,3.9oz,No,No,No,Yes,No,No,No,No,No,None,1,100,10,
Ati Manel Squid Pieces in Ink,7,Sunflower Oil,Squid,Loligo vulgaris,Spain,Ati Manel,Yes,No,"Tomato, onion, squid ink",NA,NA,NA,110g,3.9oz,No,No,No,No,Yes,Yes,No,No,No,None,1,118,21,
Ati Manel Mussels in Escabeche,8,"Sunflower Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ati Manel,Yes,No,Escabeche,NA,NA,NA,110g,3.9oz,No,No,No,Yes,No,No,No,No,No,None,1,110,10,
Ati Manel Spiced Mussels in Escabeche,8,"Sunflower Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ati Manel,Yes,No,Escabeche,NA,NA,NA,110g,3.9oz,No,No,No,Yes,Yes,No,No,No,No,None,1,100,10,
Ati Manel Razor Clams in Brine,18,Brine,Razor Clams,Ensis siliqua,Spain,Ati Manel,Yes,No,None,NA,NA,NA,110g,3.9oz,No,No,No,No,No,No,No,No,No,None,1,100,19,
Ati Manel Scallops in “Caldeirada” Sauce,11,Olive Oil,Scallops,Chlamys sp,Spain,Ati Manel,Yes,Yes,Caldeirada,NA,NA,NA,120g,4.2oz,No,No,No,No,No,Yes,No,No,No,None,1,100,10,
Belveder Cod Liver,4.5,None,Cod,?,?,Belveder,Yes,No,None,NA,NA,Unstated,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,278,11,
"Belveder Riga Smoked Sprats in Oil, 160g",3,Rapeseed Oil,Sprats,Sprattus sprattus,Latvia,Belveder,Yes,No,None,No,No,Unstated,160g,5.6 oz,Yes,No,No,No,No,No,No,No,No,None,3,220,10,
"Belveder Riga Smoked Sprats in Oil, 240g",4,Rapeseed Oil,Sprats,Sprattus sprattus,Latvia,Belveder,Yes,No,None,No,No,Unstated,240g,8.5 oz,Yes,No,No,No,No,No,No,No,No,None,3,220,10,
Bogar Cockles in Brine 45/55,18,Water,Cockles,?,Spain,Bogar,Yes,No,None,NA,NA,45/55,111g,4 oz,No,No,No,No,No,No,No,No,No,None,2,370,16,
Bogar Mussels in Escabeche 12/16,9,Sunflower Oil,Mussels,?,Spain,Bogar,Yes,No,Escabeche,NA,NA,12/16,111g,4 oz,No,No,No,No,No,No,No,No,No,None,2,510,22,
Bogar Razor Clams Pieces in Brine,10,Water,"Clam, Razor",?,Spain,Bogar,Yes,No,None,NA,NA,Unstated,111g,4 oz,No,No,No,No,No,No,No,No,No,None,2,400,17,
Bogar Sardines in Spicy Oil 3/5,8,Sunflower Oil,Sardines,?,Spain,Bogar,yes,No,Spiced/Spicy,No,No,3/5,115g,4 oz,No,No,No,No,Yes,No,NO,No,No,None,2,240,11,
Bogar Squid Pieces in Ink,6,Sunflower Oil,Squid,?,Spain,Bogar,Yes,No,Ink,NA,NA,Unstated,111g,4 oz,No,No,No,No,No,Yes,No,No,No,None,2,260,11,
Bogar White Clams in Brine 20/30,16,Water,"Clam, White",?,Spain,Bogar,Yes,No,None,NA,NA,20/30,115g,4 oz,No,No,No,No,No,No,No,No,No,None,2,300,14,
Bon Appetit Sardines in Hot Olive Oil,3.5,Olive Oil,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy,No,No,Unstated,120g,4.23 oz,No,No,No,No,Yes,No,No,No,No,None,1,170,7,
Bon Appetit Sardines in Hot Sunflower Oil,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy,No,No,Unstated,120g,4.23 oz,No,No,No,No,Yes,No,No,No,No,None,1,300,13,
Bon Appetit Sardines in Hot Tomato Sauce,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy Tomato,No,No,Unstated,120g,4.23 oz,No,No,No,No,Yes,Yes,No,No,No,None,1,160,7,
Bon Appetit Sardines in Olive Oil,3.5,Olive Oil,Sardines,?,Portugal,Bon Appetit,Yes,No,None,No,No,Unstated,120g,4.23 oz,No,No,No,No,No,No,No,No,No,None,1,190,8,
Bon Appetit Sardines in Sunflower Oil,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,None,No,No,Unstated,120g,4.23 oz,No,No,No,No,No,No,No,No,No,None,1,170,8,
Bon Appetit Sardines in Tomato Sauce,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Tomato,No,No,Unstated,120g,4.23 oz,No,No,No,No,No,Yes,No,No,No,None,1,280,12,
Callol Serrats L’Escala Anchovy Fillets,13,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Callol Serrats,Yes,No,None,Yes,Yes,Unstated,50g,1.76 oz,No,No,No,No,No,No,No,No,No,None,2,880,37,
"Callol Serrats L’Escala Anchovy Fillets, 100g glass jar",19,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Callol Serrats,Yes,No,None,Yes,Yes,Unstated,100g,3.5 oz,No,No,No,No,No,No,No,No,No,None,4,880,37,
Codesa Serie Limitada (Limited Series) Anchovy Fillet in Olive Oil,20,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,None,Yes,Yes,7/10,55g,1.94 oz,No,No,No,No,No,No,No,No,No,None,3,733,31,
Codesa Serie Oro (Gold Series) Anchovy Fillet in Olive Oil,15,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,None,Yes,Yes,8/10,55g,1.94 oz,No,No,No,No,No,No,No,No,No,None,3,733,31,
Cole's Select Snow Crab,16,Water,Crab,Paralomis granulosa,Chile,Cole's,Yes,No,None,NA,NA,NA,150g,5.3 oz,No,No,No,No,No,No,No,No,No,None,2,250,11,
Cole's Smoked Mussels in Olive Oil,8.5,Olive Oil,Mussels,Mytilus edulis,Chile,Cole's,Yes,No,None,NA,NA,Unstated,114g,4oz,Yes,No,No,No,No,No,No,No,No,None,1,207,9,
Cole's Smoked Rainbow Trout in Olive Oil,8.5,Olive Oil,Trout,Oncorhynchus mykiss,Chile,Cole's,Yes,No,None,Yes,No,Unstated,91g,3.2 oz,Yes,No,No,No,No,No,No,No,No,None,1,300,13,
Cole's Smoked Salmon in Olive Oil,9.5,Olive Oil,Salmon,Salmo salar,Chile,Cole's,Yes,No,None,Yes,Yes,Unstated,91g,3.2 oz,Yes,No,No,No,No,No,No,No,No,None,1,300,12.5,
Cole's Smoked Trout with Lemon & Cracked Pepper,8.5,Olive Oil,Trout,Oncorhynchus mykiss,Chile,Cole's,Yes,No,"Lemon, Pepper",Yes,No,Unstated,91g,3.2 oz,Yes,No,Yes,No,No,No,No,No,No,None,1,374,16,
"Cole's Stuffed Calamari with Rice, Tomato, Onion, and Spices",9,"Sunflower Oil, Soybean Oil",Squid,Loligo spp,Portugal,Cole's,Yes,No,Tomato,NA,NA,Unstated,115g,4.1 oz,No,No,No,No,No,Yes,No,No,No,None,1,820,36,
Cole's Tuna Fillets in Olive Oil,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,None,NA,NA,NA,190g,6.7 oz,No,No,No,No,No,No,No,No,No,None,2,280,12,
Cole's Tuna Fillets in Olive Oil & Fennel,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,Fennel Seeds,NA,NA,NA,190g,6.7 oz,No,No,No,No,No,No,No,No,No,None,1.5,170,7,
Cole's Tuna Fillets in Olive Oil with Oregano,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,Oregano,NA,NA,NA,190g,6.7 oz,No,No,No,No,No,No,No,No,No,None,2,280,12,
Cole's Tuna Fillets in Olive Oil with Sweet Red Pepper,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,Yes,Red Bell Pepper,NA,NA,NA,190g,6.7 oz,No,No,No,No,No,No,No,No,No,None,1.5,250,11,
Cole's Wild Atlantic Chub Mackerel in Olive Oil,6,Olive Oil,Mackerel,Scomber colias,Cape Verde,Cole's,Yes,No,None,Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,No,No,No,No,No,None,1,340,15,
Conservas de Cambados Baby Eels in Olive Oil,45,Olive Oil,Eel,Anguilla bicolor bicolor and  Anguilla Mossambica,Spain,Conservas de Cambados,Yes,No,None,NA,NA,Unstated,111g,4 oz,No,No,No,No,Yes,No,No,No,No,None,1,620,27,
Conservas de Cambados Barnacles (Percebes) in Brine,30,Water,Barnacles,Pollicipes pollicipes,Spain,Conservas de Cambados,Yes,No,None,NA,NA,Unstated,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,1240,54,
Conservas de Cambados Cockles in Brine 30/40,25,Water,Cockles,Cerastoderma edule,Spain,Conservas de Cambados,Yes,No,None,NA,NA,30/40,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,750,33,
Conservas de Cambados Cockles in Brine 20/25,54,Water,Cockles,Cerastoderma edule,Spain,Conservas de Cambados,Yes,No,None,NA,NA,20/25,111g,4oz,No,No,No,No,No,No,No,No,No,None,2,370,19,
Conservas de Cambados Fried Mussels in Escabeche 4/6,22,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,4/6,11g,4oz,No,No,No,No,No,No,No,No,No,None,1,620,27,
Conservas de Cambados Fried Mussels in Escabeche 6/8 (King Size),18,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,6/8,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,620,27,
Conservas de Cambados Fried Mussels in Escabeche 8/12,13,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,8/12,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,620,27,
Conservas de Cambados Garfish (Agujas) in Olive Oil,6,Olive Oil,Garfish,Scomberesox saurus and Belone belone,Spain,Conservas de Cambados,Yes,No,None,No,No,4/6,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,460,20,
"Conservas de Cambados Squid Ink (Tina de Calamar), 4-pack of 4g packets",6,Water,Cuttlefish Ink,?,Spain,Conservas de Cambados,Yes,No,Cuttlefish Ink,NA,NA,NA,4g/packet,.14oz/packet,No,No,No,No,No,No,No,No,No,None,4,310,14,
Conservas de Cambados Large Fried Mussels in Escabeche 16/20 (Large Format Tin),30,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,16/20,266g,9 oz,No,No,No,No,No,No,No,No,No,None,3,476,21,
Conservas de Cambados Mackerel Fillet in Olive Oil,10,Olive Oil,Mackerel,Scomber scombrus and Scomber colias ,Spain,Conservas de Cambados,Yes,No,None,Yes,Yes,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,260,11,
Conservas de Cambados Octopus in Galician Sauce,12,Sunflower Oil,Octopus,Octopus vulgaris,Spain,Conservas de Cambados,Yes,No,Galician,NA,NA,Unstated,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,200,9,
Conservas de Cambados Octopus in Olive Oil,13,Olive Oil,Octopus,Octopus vulgaris,Spain,Conservas de Cambados,Yes,No,None,NA,NA,Unstated,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,360,15,
Conservas de Cambados Razorshells (Razor Clams) in Brine,19,Water,"Clam, Razor",Ensis siliqua,Spain,Conservas de Cambados,Yes,No,None,NA,NA,4/6,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,800,35,
Conservas de Cambados Sea Urchin Roes in Brine,30,Water,Urchin Roe,Paracentrotus lividus,Spain,Conservas de Cambados,Yes,No,None,NA,NA,NA,80g,3 oz,No,No,No,No,No,No,No,No,No,None,1,420,18,
Conservas de Cambados Small Sardines in Olive Oil 16/22,9.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,None,No,No,16/22,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,740,32,
Conservas de Cambados Small Sardines in Olive Oil 20/25,10,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,None,No,No,20/25,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,740,32,
Conservas de Cambados Small Scallops in Galician Sauce,9,Sunflower Oil,Scallop,Aequipecten opercularis,Spain,Conservas de Cambados,Yes,No,Galician,NA,NA,Unstated,111g,4 oz,No,No,No,No,No,Yes,No,No,No,None,1,310,14,
Conservas de Cambados Stuffed Squids in Ink 6/8,15,Sunflower Oil,Squid,Loligo gahi,Spain,Conservas de Cambados,Yes,No,Ink,NA,NA,6/8,111g,4 oz,No,No,No,No,No,Yes,No,No,No,None,1,390,17,
Conservas de Cambados Stuffed Squids in Olive Oil 6/8,21,Olive Oil,Squid,Loligo gahi,Spain,Conservas de Cambados,Yes,No,None,NA,NA,6/8,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,220,10,
Conservas de Cambados Very Small Sardines in Olive Oil 25/30,15,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,None,No,No,25/30,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,740,32,
Conservas de Cambados White Tuna Belly (Ventresca) Fillets in Olive Oil,19,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Conservas de Cambados,Yes,No,None,NA,NA,NA,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,270,12,
Conservas de Cambados White Tuna in Olive Oil,8.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Conservas de Cambados,Yes,No,None,NA,NA,NA,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,270,11,
Don Bocarte Anchovy Fillets in Extra Virgin Olive Oil 6/7,16,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Don Bocarte,Yes,No,None,Yes,Yes,6/7,48g,1.69 oz,No,No,No,No,No,No,No,No,No,None,2,480,20,
Don Bocarte Sliced Bonita Del Norte (Lomo Laminado),14,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Don Bocarte,Yes,No,None,NA,NA,NA,120g,4.23 oz,No,No,No,No,No,No,No,No,No,None,2,230,10,
Don Bocarte Ventresca Bonito Del Norte,47,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Don Bocarte,Yes,No,None,NA,NA,NA,190g,6.7 oz,No,No,No,No,No,No,No,No,No,None,3,220,9,
Don Bocarte Wild Bluefin (Atun Rojo) Belly (Ventresca) in Olive Oil,42,Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Don Bocarte,Yes,No,None,Yes,Yes,NA,120g,4.23 oz,No,No,No,No,No,No,No,No,No,None,2,230,10,
Don Gastronom Cockles in Brine 55/65,17.5,Water,Cockles,Cerastoderma edule,Spain,Don Gastronom,Yes,No,None,NA,NA,55/65,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,370,15,
Don Gastronom Fried Small Mussels in Escabeche 12/16,8,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Don Gastronom,Yes,No,Escabeche,NA,NA,12/16,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,420,20,
Don Gastronom Galician Clams in Brine,30.5,Water,"Clam, White",Venerupis corrugate,Spain,Don Gastronom,Yes,No,None,NA,NA,25/30,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,350,15,
Don Gastronom Mackerel Fillets in Olive Oil 4/6,6,Olive Oil,Mackerel,Scomber australascos,Spain,Don Gastronom,Yes,No,None,Yes,Yes,4/6,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,150,6,
