date ,site,gear,wind,surface_temp,crew,start_time,end_time,lat_start,long_start,lat_end,long_end,start_depth,end_depth,basin,species,tag_no,tl_mm,fl_mm,girth_mm,wt_g,fin_scales_muscle,sex,stomach,vtag,maxillary,age_est,comments
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,71,248,225,119,139,yes,f,no,,yes,4,stomach was empty
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,72,255,235,108,121,yes,m,yes,,yes,4,
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,73,240,227,107,100,yes,f,yes,,yes,3,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,74,284,265,131,179,yes,f,yes,,yes,4,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,75,292,265,138,193,yes,m,yes,,yes,5,2 photos same id
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,76,307,274,134,199,yes,f,yes,,yes,5,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,77,295,275,135,222,yes,m,yes,,yes,5,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,78,300,273,138,225,yes,m,yes,,yes,5,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,79,297,263,138,187,yes,f,yes,,yes,5,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,80,303,273,132,210,yes,f,yes,,yes,4,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,81,317,285,134,227,yes,f,yes,,yes,4,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,82,290,264,126,188,yes,f,yes,,yes,4,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,83,244,223,108,115,yes,m,yes,,yes,3,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,84,265,245,124,151,yes,f,yes,,yes,4,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,85,263,140,120,144,yes,f,yes,,yes,4,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,86,270,248,115,156,yes,f,yes,,yes,4,
9/10/2020,F-4,,,,,,,45.82861,-74.78584,,,,,West Basin,lt,87,264,240,110,136,yes,m,yes,,yes,3,
